,Artist,Total Views,100M,Avg
1346,Aaliyah,42240000000.0,Não informado,0.03
1347,Skylar Grey,42170000000.0,1.0,0.06
1348,K-Ci & JoJo,42040000000.0,1.0,0.11
1349,Jay Rock,41960000000.0,1.0,0.05
1350,Tyrese,41880000000.0,1.0,0.14
1351,Maejor Ali,41830000000.0,1.0,0.03
1352,Anastacia,41790000000.0,Não informado,0.13
1353,Elettra Lamborghini,41710000000.0,1.0,0.05
1354,Onze:20,41610000000.0,Não informado,0.04
1355,Janet Jackson,41600000000.0,Não informado,0.21
1356,Rei,41490000000.0,1.0,0.88
1357,Lil' Kleine,41320000000.0,Não informado,0.03
1358,Veysel,41220000000.0,Não informado,0.06
1359,Toygar Işıklı,41120000000.0,1.0,0.11
1360,Route 94,41020000000.0,1.0,0.11
1361,Sheck Wes,40960000000.0,1.0,0.1
1362,3OH!3,40940000000.0,1.0,0.03
1363,P-HOT,40850000000.0,1.0,0.05
1364,Aastha Gill,40490000000.0,1.0,0.13
1365,Counting Crows,40190000000.0,1.0,0.13
1366,Max Pezzali,40070000000.0,Não informado,0.12
1367,Bella Thorne,40040000000.0,1.0,0.02
1368,Cher,40000000000.0,1.0,0.4
1369,Eypio,39910000000.0,1.0,0.06
1370,Metro Boomin,39860000000.0,Não informado,1.0
1371,Tokio Hotel,39840000000.0,Não informado,0.05
1372,Vanessa Carlton,39790000000.0,1.0,0.09
1373,Eva Simons,39670000000.0,1.0,0.04
1374,Łobuzy,39650000000.0,2.0,0.11
1375,Mario Bautista,39580000000.0,1.0,0.08
1376,Village People,39560000000.0,1.0,0.07
1377,Example,39450000000.0,1.0,0.04
1378,Thegiornalisti,39430000000.0,1.0,0.07
1379,Massive Attack,39400000000.0,Não informado,0.08
1380,Tom Petty,39340000000.0,1.0,0.12
1381,Sarah Connor,39160000000.0,Não informado,0.08
1382,Emeli Sandé,39160000000.0,Não informado,0.04
1383,Grebz,39010000000.0,1.0,0.04
1384,Lamyai Haithongkham,39000000000.0,1.0,0.02
1385,Infinite,38810000000.0,Não informado,0.04
1386,The Band Perry,38790000000.0,1.0,0.05
