,Artist,Total Views,100M,Avg
137,Haschak Sisters,567080000000.0,16.0,0.5
138,Bon Jovi,562310000000.0,9.0,1.46
139,Myke Towers,561620000000.0,11.0,2.45
140,Mark Ronson,559150000000.0,3.0,1.22
141,Pentatonix,558360000000.0,13.0,0.55
142,Wisin,557850000000.0,12.0,0.96
143,Camila Cabello,557180000000.0,12.0,0.86
144,Nio García,547139999999.99994,8.0,0.92
145,Avril Lavigne,545600000000.0,16.0,1.04
146,Metallica,543020000000.0,7.0,1.59
147,Juan Gabriel,542680000000.0,11.0,1.51
148,Lana Del Rey,540970000000.0,12.0,1.72
149,Hariharan,534560000000.00006,8.0,4.08
150,Yasmin Verissimo,534180000000.0,15.0,2.46
151,Manuel Turizo,533280000000.0,10.0,2.93
152,Ricardo Arjona,526880000000.0,8.0,1.77
153,Kodak Black,524610000000.00006,13.0,1.73
154,Lil Nas X,520080000000.0,10.0,1.32
155,MC Kevinho,518889999999.99994,12.0,0.25
156,Marc Anthony,517360000000.00006,13.0,1.5
157,Luan Santana,516439999999.99994,14.0,1.81
158,Wisin & Yandel,515860000000.00006,14.0,1.87
159,Sean Paul,511639999999.99994,11.0,1.48
160,G-Eazy,511420000000.0,8.0,0.92
161,Akon,510760000000.00006,9.0,1.82
162,Camilo,509439999999.99994,14.0,1.38
163,Jessie J,508380000000.0,9.0,0.66
164,Madonna,506239999999.99994,11.0,1.76
165,Lil Wayne,505010000000.00006,8.0,1.14
166,Mohamed Ramadan,500780000000.0,8.0,0.84
167,Carlos Vives,495930000000.0,6.0,1.12
168,Tyga,494110000000.00006,7.0,1.0
169,Whitney Houston,491870000000.0,10.0,1.89
170,Kygo,491010000000.00006,11.0,1.0
171,Hillsong Worship,483170000000.0,10.0,2.16
172,Macklemore & Ryan Lewis,482380000000.0,8.0,0.62
173,Girls' Generation,470820000000.0,10.0,0.72
174,Aventura,470780000000.0,16.0,2.14
175,Jul,470339999999.99994,4.0,1.75
176,Khalid,466260000000.00006,10.0,0.88
177,LMFAO,465739999999.99994,5.0,0.55
178,Jesse & Joy,465589999999.99994,10.0,1.04
179,Plan B,462410000000.00006,13.0,1.25
180,Maná,460700000000.0,14.0,1.43
181,Flo Rida,460460000000.00006,10.0,0.83
182,Machine Gun Kelly,455210000000.00006,10.0,1.21
183,Grupo Firme,452310000000.00006,14.0,3.74
184,ZAYN,450350000000.0,5.0,0.86
185,Simone & Simaria,448270000000.0,9.0,0.86
186,Sech,447760000000.00006,11.0,1.1
187,Doja Cat,447689999999.99994,15.0,2.26
188,Rahat Fateh Ali Khan,447500000000.0,10.0,1.74
189,Adexe & Nau,446280000000.0,8.0,0.42
190,Usher,445870000000.0,13.0,1.21
191,Nirvana,445389999999.99994,7.0,1.38
192,Lil Pump,444070000000.0,11.0,0.31
193,Jubin Nautiyal,442870000000.0,6.0,1.27
194,Saad Lamjarred,433120000000.0,10.0,0.97
195,Kanye West,432939999999.99994,15.0,1.0
196,Pablo Alborán,432630000000.0,11.0,1.04
197,Silvestre Dangond,429060000000.00006,7.0,0.95
198,Rosalía,428770000000.0,6.0,2.25
199,Kenshi Yonezu,425289999999.99994,12.0,1.49
200,Stray Kids,425080000000.0,8.0,3.8
201,El Chombo,419739999999.99994,1.0,1.39
202,Rammstein,419330000000.0,12.0,1.71
203,Illslick,418880000000.0,9.0,1.27
204,Backstreet Boys,417510000000.00006,9.0,1.48
205,Meet Bros,417380000000.0,12.0,1.08
206,Elissa,412400000000.0,6.0,1.86
207,Kevin Roldan,407620000000.0,11.0,1.03
208,Pop Smoke,406560000000.0,8.0,1.66
209,Gorillaz,406440000000.0,10.0,1.14
210,Harry Styles,404970000000.0,9.0,2.26
211,Passenger,403340000000.0,1.0,0.62
212,Morat,401130000000.0,8.0,2.38
213,Dhanush,400200000000.0,5.0,1.68
214,Hussain Al Jassmi,398400000000.0,7.0,1.3
215,Zion & Lennox,396430000000.0,7.0,1.17
216,Rae Sremmurd,393330000000.0,9.0,0.36
217,Hungria Hip Hop,386640000000.0,13.0,1.54
218,Halsey,386410000000.0,8.0,0.91
219,NCT,380960000000.0,9.0,1.17
220,Monkan Kankoon,379260000000.0,10.0,1.79
221,Atif Aslam,378220000000.0,9.0,1.01
222,Panic! at the Disco,377790000000.0,6.0,0.48
223,Céline Dion,374930000000.0,10.0,1.56
224,21 Savage,374160000000.0,8.0,1.1
225,El Alfa,374090000000.0,7.0,1.62
226,Kendrick Lamar,372810000000.0,12.0,0.85
227,Iggy Azalea,372660000000.0,9.0,0.34
228,Alejandro Fernández,371950000000.0,6.0,1.12
229,TINI,371530000000.0,13.0,2.17
230,J.Fla,370180000000.0,6.0,0.35
231,La Adictiva Banda San José de Mesillas,368740000000.0,7.0,1.28
232,System of a Down,368040000000.0,8.0,1.07
233,Bryan Adams,366860000000.0,10.0,1.29
234,Slipknot,365630000000.0,10.0,1.06
235,Kurt Hugo Schneider,363520000000.0,4.0,0.22
236,Lil Uzi Vert,363450000000.0,8.0,1.27
237,Nour Al Zain,362510000000.0,8.0,0.59
238,Melendi,360910000000.0,4.0,1.15
239,Mon Laferte,360640000000.0,8.0,1.4
240,DaBaby,359200000000.0,7.0,0.76
241,Nickelback,357890000000.0,11.0,0.76
242,Carlos Rivera,357130000000.0,11.0,1.22
243,Nelly,357030000000.0,7.0,1.16
244,Chayanne,355550000000.0,11.0,0.88
245,Yandel,354430000000.0,7.0,1.45
246,Christina Aguilera,352330000000.0,10.0,0.77
247,Dalex,352180000000.0,8.0,1.14
248,Lil Durk,352080000000.0,3.0,1.98
249,Lindsey Stirling,350930000000.0,8.0,0.57
250,Cali y El Dandee,350460000000.0,7.0,0.72
251,Ariel Camacho y Los Plebes Del Rancho,350280000000.0,8.0,0.58
252,Jonas Blue,349590000000.0,7.0,0.63
253,Yuridia,348200000000.0,7.0,4.55
254,Santa Fe Klan,345960000000.0,6.0,2.64
255,Arctic Monkeys,343340000000.0,6.0,1.03
256,Bruno e Marrone,343190000000.0,5.0,1.09
257,Violetta,342850000000.0,4.0,0.26
258,Young Thug,342500000000.0,8.0,0.93
259,John Legend,341940000000.0,4.0,0.52
260,Bebe Rexha,340020000000.0,5.0,0.55
261,Banda Los Recoditos,339960000000.0,11.0,0.59
262,Tiësto,339300000000.0,8.0,1.32
263,Melanie Martinez,338670000000.0,11.0,0.72
264,Christina Perri,336640000000.0,3.0,0.55
265,MC Livinho,335950000000.0,10.0,0.26
266,Ludmilla,332200000000.0,8.0,2.13
267,Meek Mill,330120000000.0,6.0,0.79
268,Little Big,328830000000.0,8.0,1.18
269,Marco Antonio Solís,327700000000.0,12.0,1.15
270,Pulcino Pio,327010000000.0,6.0,0.47
271,C-Kan,326930000000.0,7.0,0.71
272,Danny Ocean,326430000000.0,5.0,0.92
273,Seventeen,326010000000.0,3.0,2.31
274,Jhay Cortez,325930000000.0,3.0,1.12
275,Pharrell Williams,325850000000.0,6.0,0.58
276,Evanescence,325700000000.0,6.0,0.84
277,GOT7,324130000000.0,8.0,0.29
278,Green Day,321940000000.0,7.0,0.78
279,Cosculluela,318960000000.0,5.0,0.95
280,Alejandro Sanz,318350000000.0,5.0,0.68
281,Emiway Bantai,316880000000.0,7.0,0.97
282,Pedro Capó,316130000000.0,2.0,0.61
283,Zedd,316080000000.0,10.0,0.46
284,Stromae,315120000000.0,6.0,1.0
285,Lil Peep,314280000000.0,8.0,0.92
286,LP,312270000000.0,6.0,1.18
287,Vishal Dadlani,312220000000.0,9.0,0.72
288,Alicia Keys,310160000000.0,6.0,0.74
289,Luis Miguel,308970000000.0,8.0,1.24
290,Gucci Mane,304730000000.0,3.0,0.69
291,Abba,304590000000.0,7.0,1.32
292,Khea,301000000000.0,10.0,0.57
293,Gerardo Ortiz,299370000000.0,9.0,0.56
294,Ciara,298090000000.0,10.0,0.6
295,James Arthur,298050000000.0,4.0,0.86
296,Naiara Azevedo,297360000000.0,8.0,0.37
297,Gustavo Mioto,296960000000.0,7.0,1.3
298,Tribo da Periferia,296880000000.0,6.0,1.1
299,Armin van Buuren,296740000000.0,4.0,0.68
300,Río Roma,295620000000.0,8.0,0.77
301,Harrdy Sandhu,294520000000.0,7.0,0.67
302,Brytiago,294500000000.0,7.0,0.66
303,Alex Rose,291700000000.0,6.0,1.06
304,Red Velvet,291690000000.0,12.0,0.58
305,Jay Chou,291520000000.0,4.0,0.77
306,Paramore,291100000000.0,10.0,0.59
307,Camila,290380000000.0,9.0,0.54
308,French Montana,290230000000.0,3.0,0.62
309,Soolking,289990000000.0,7.0,1.2
310,The Beatles,289380000000.0,9.0,0.96
311,Aviões do Forró,288250000000.0,6.0,0.77
312,Bryant Myers,287890000000.0,10.0,1.25
313,Bee Gees,285440000000.0,6.0,1.33
314,Ne-Yo,284220000000.0,10.0,0.73
315,La Oreja de Van Gogh,283390000000.0,5.0,1.13
316,Calle 13,283000000000.0,9.0,0.53
317,Mac Miller,281370000000.0,5.0,0.68
318,Gente De Zona,280030000000.0,4.0,0.49
319,Dr. Dre,279920000000.0,5.0,0.94
320,Udit Narayan,279820000000.0,8.0,0.75
321,La Arrolladora Banda El Limón De René Camacho,278450000000.0,7.0,0.81
322,Five Finger Death Punch,278410000000.0,9.0,0.82
323,Greeicy,277540000000.0,8.0,0.84
324,Kratai Phannipha,277020000000.0,6.0,0.37
325,Aerosmith,276160000000.0,5.0,0.87
326,Zoé,275630000000.0,6.0,0.81
327,MAGIC!,274650000000.0,2.0,0.42
328,Soprano,273619999999.99997,10.0,0.43
329,Zara Larsson,272960000000.0,4.0,0.3
330,Modern Talking,272300000000.0,7.0,1.1
331,La Trakalosa de Monterrey,272110000000.0,7.0,0.42
332,Aya Nakamura,271519999999.99997,5.0,0.8
333,Gabriela Rocha,270319999999.99997,4.0,0.96
334,Childish Gambino,269980000000.00003,6.0,0.69
335,Labanoon,269869999999.99997,6.0,0.28
336,L'Algérino,269440000000.0,8.0,0.29
337,Dilsinho,268700000000.0,4.0,0.68
338,Feid,266910000000.0,8.0,6.68
339,The Cranberries,266700000000.0,5.0,0.86
340,Son Tung M-TP,266060000000.0,11.0,0.61
341,Dimitri Vegas & Like Mike,263710000000.0,3.0,0.29
342,T.I.,263210000000.0,6.0,0.43
343,Ankush Raja,262510000000.0,6.0,1.23
344,Fetty Wap,261540000000.0,7.0,0.33
345,The Lonely Island,260350000000.0,9.0,0.17
346,A$AP Rocky,259950000000.0,4.0,0.7
347,Daft Punk,258700000000.0,5.0,0.73
348,MCs Zaac & Jerry,258580000000.00003,8.0,0.23
349,Amr Diab,258440000000.0,3.0,0.41
350,will.i.am,258200000000.0,6.0,0.3
351,Jesús Adrián Romero,257700000000.0,7.0,0.87
352,Fall Out Boy,257240000000.0,6.0,0.42
353,Zé Felipe,255300000000.0,8.0,2.4
354,Robin Schulz,255260000000.0,6.0,0.58
355,Oasis,253850000000.0,7.0,0.6
356,Franco De Vita,253740000000.0,8.0,0.64
357,5 Seconds of Summer,253700000000.0,5.0,0.38
358,YNW Melly,253419999999.99997,5.0,0.61
359,Swedish House Mafia,252560000000.0,5.0,0.46
360,Luke Combs,252219999999.99997,6.0,1.08
361,Westlife,251500000000.0,6.0,0.84
362,Anne-Marie,251469999999.99997,6.0,0.93
363,Ferrugem,251150000000.0,6.0,0.79
364,Jon Z,250530000000.00003,5.0,0.97
365,Gloria Trevi,250130000000.00003,5.0,0.64
366,Mustafa Ceceli,249500000000.0,7.0,0.7
367,Mamamoo,249440000000.0,4.0,0.62
368,Turma do Pagode,248280000000.00003,6.0,0.65
369,Ava Max,247969999999.99997,5.0,1.31
370,David Bisbal,245060000000.0,6.0,0.47
371,R. Kelly,244900000000.0,6.0,0.11
372,Felipe Araújo,243390000000.0,6.0,0.58
373,Jay Wheeler,243350000000.0,4.0,1.33
374,Tarkan,243080000000.00003,4.0,0.68
375,The Pussycat Dolls,242950000000.0,8.0,0.7
376,Dhvani Bhanushali,240350000000.0,2.0,0.57
377,Polo G,240230000000.00003,5.0,0.87
378,Foo Fighters,239700000000.0,6.0,0.53
379,Calum Scott,239669999999.99997,4.0,0.7
380,Lukas Graham,239540000000.0,4.0,0.44
381,Trey Songz,239050000000.0,4.0,0.33
382,Miyagi,238469999999.99997,4.0,1.49
383,Mau y Ricky,237580000000.00003,3.0,0.8
384,Kelly Clarkson,237469999999.99997,4.0,0.45
385,Selena,236269999999.99997,7.0,0.97
386,Koray Avcı,235390000000.0,7.0,0.25
387,Gera MX,234980000000.00003,3.0,1.06
388,Carla Morrison,233369999999.99997,5.0,0.9
389,George Michael,233080000000.00003,5.0,1.04
390,Sean Kingston,232700000000.0,4.0,0.72
391,Muse,232640000000.0,6.0,0.46
392,Luke Bryan,232119999999.99997,7.0,0.35
393,Leningrad,230930000000.00003,6.0,0.33
394,Super Junior,229540000000.0,7.0,0.37
395,De La Ghetto,227150000000.0,3.0,0.47
396,YG,226560000000.0,6.0,0.36
397,Roddy Ricch,226290000000.0,6.0,0.66
398,Avenged Sevenfold,226280000000.00003,7.0,0.56
399,Carly Rae Jepsen,225590000000.0,2.0,0.31
400,Elton John,225019999999.99997,6.0,1.4
401,iKON,224710000000.0,3.0,0.32
402,Alka Yagnik,224160000000.0,6.0,0.7
403,J. Cole,224140000000.0,6.0,0.78
404,Snoop Dogg,223369999999.99997,7.0,0.54
405,Rita Ora,222990000000.0,4.0,0.29
406,Disturbed,221669999999.99997,3.0,0.64
407,Desiigner,221550000000.0,4.0,0.27
408,Tones and I,221260000000.0,1.0,0.48
409,Gotye,220500000000.0,1.0,0.6
410,Zé Vaqueiro,220310000000.0,7.0,0.99
411,a-ha,220290000000.0,1.0,0.75
412,Diego & Victor Hugo,220019999999.99997,7.0,0.64
413,A Boogie wit da Hoodie,219110000000.0,3.0,0.67
414,Logic,218419999999.99997,3.0,0.19
415,Juanes,217710000000.0,8.0,0.56
416,Projota,217580000000.00003,5.0,0.27
417,Kendji Girac,217560000000.0,8.0,0.47
418,2NE1,216610000000.0,2.0,0.24
419,Piccolo Coro dell'Antoniano,215460000000.0,3.0,0.68
420,Lunay,214419999999.99997,6.0,0.45
421,Lil Dicky,213800000000.0,4.0,0.26
422,Rod Stewart,213669999999.99997,4.0,1.11
423,Rag'n'Bone Man,213180000000.00003,2.0,0.68
424,U2,213080000000.00003,5.0,0.71
425,Megan Thee Stallion,212940000000.0,8.0,0.6
426,Hassan Shakosh,212169999999.99997,5.0,0.35
427,Tove Lo,211600000000.0,3.0,0.47
428,K-ICM,211580000000.00003,5.0,0.15
429,MC Pedrinho,211440000000.0,7.0,0.21
430,Sorriso Maroto,209569999999.99997,4.0,0.64
431,The Script,209140000000.0,5.0,0.36
432,Danna Paola,209030000000.00003,4.0,0.58
433,Mike Posner,208000000000.0,2.0,0.33
434,Ke$ha,207830000000.00003,6.0,0.24
435,Silentó,205930000000.00003,1.0,0.13
436,MC Fioti,205880000000.00003,1.0,0.22
437,Himesh Reshammiya,205219999999.99997,3.0,1.31
438,Amy Winehouse,204910000000.0,4.0,0.68
439,MC Kekel,204819999999.99997,6.0,0.1
440,ITZY,203510000000.0,7.0,1.01
441,Tory Lanez,203310000000.0,2.0,0.55
442,Shreya Ghoshal,203250000000.0,5.0,0.67
443,Michel Teló,202800000000.0,2.0,0.26
444,Kane Brown,202790000000.0,3.0,0.57
445,Capital Bra,201560000000.0,2.0,0.29
446,Tierry,201550000000.0,3.0,0.85
447,Zack Knight,201430000000.0,3.0,0.54
448,Andrea Bocelli,201350000000.0,4.0,0.69
449,Nelly Furtado,201150000000.0,4.0,0.66
450,Pabllo Vittar,199910000000.0,5.0,0.25
451,Andra,199850000000.0,4.0,0.2
452,MC Davo,199600000000.0,5.0,0.57
453,Olivia Rodrigo,199570000000.0,5.0,0.97
454,Joey Montana,198990000000.0,2.0,0.17
455,Lorde,198980000000.0,4.0,0.2
456,Eduardo Costa,198520000000.0,4.0,0.54
457,AKB48,198440000000.0,2.0,0.2
458,Skillet,198340000000.0,4.0,0.55
459,Indila,198200000000.0,4.0,0.88
460,Darshan Raval,197340000000.0,4.0,0.54
461,Lucas Lucco,197260000000.0,7.0,0.39
462,YOUNGOHM,196900000000.0,7.0,0.77
463,The Killers,196210000000.0,6.0,0.39
464,blink-182,196200000000.0,5.0,0.45
465,Big Sean,195990000000.0,5.0,0.16
466,Lartiste,195450000000.0,3.0,0.26
467,Cocktail,194740000000.0,7.0,0.38
468,JoJo Siwa,194160000000.0,4.0,0.21
469,Jason Mraz,193470000000.0,5.0,0.34
470,Jessi Uribe,193200000000.0,5.0,1.0
471,Kid Ink,193090000000.0,3.0,0.21
472,Cyndi Lauper,193070000000.0,3.0,0.54
473,Timati,192860000000.0,2.0,0.54
474,Hala Al Turk,192340000000.0,6.0,0.24
475,Laura Pausini,192220000000.0,2.0,0.41
476,Shania Twain,191920000000.0,6.0,0.69
477,Luciano Pereyra,191200000000.0,3.0,0.57
478,Michael Bublé,190960000000.0,5.0,0.32
479,Timbaland,190490000000.0,6.0,0.7
480,Fergie,189900000000.0,6.0,0.4
481,Juan Magan,189820000000.0,5.0,0.24
482,Mohamed Alsalim,189780000000.0,3.0,0.54
483,Banda El Recodo De Cruz Lizárraga,189560000000.0,5.0,0.38
484,Natalia Lafourcade,189390000000.0,5.0,0.79
485,Depeche Mode,189080000000.0,4.0,0.63
486,Balti,189040000000.0,3.0,0.65
487,Imran Khan,188860000000.0,4.0,0.89
488,Alvaro Soler,188660000000.0,4.0,0.31
489,Lewis Capaldi,188030000000.0,4.0,1.0
490,Sabyan,187880000000.0,6.0,0.15
491,Alemán,187510000000.0,3.0,1.05
492,Sin Bandera,186670000000.0,6.0,0.5
493,B Praak,186310000000.0,3.0,0.23
494,Remmy Valenzuela,186240000000.0,6.0,0.44
495,Ceca,186160000000.0,Não informado,0.35
496,MC Kevin,185360000000.0,4.0,0.62
497,OMI,185350000000.0,3.0,0.28
498,Florida Georgia Line,185210000000.0,5.0,0.21
499,Canserbero,185140000000.0,4.0,1.0
500,Hozier,184000000000.0,2.0,0.55
501,Lil Tjay,183570000000.0,3.0,0.72
502,Ricardo Montaner,182960000000.0,3.0,0.46
503,Radiohead,182810000000.0,2.0,0.79
504,Cristiano Araújo,182690000000.0,6.0,0.21
505,Galantis,182580000000.0,4.0,0.17
506,Niska,182500000000.0,4.0,0.43
507,Paula Fernandes,182280000000.0,3.0,0.44
508,Jason Aldean,181990000000.0,3.0,0.47
509,Palak Muchhal,181140000000.0,3.0,0.47
510,Chris Jeday,180390000000.0,3.0,0.69
511,Roxette,180160000000.0,3.0,0.52
512,Black M,179810000000.0,6.0,0.15
513,(G)I-DLE,179770000000.0,7.0,1.66
514,IU,179260000000.0,6.0,0.39
515,Arash,179060000000.0,4.0,0.57
516,Via Vallen,178750000000.0,3.0,0.08
517,Hailee Steinfeld,178220000000.0,6.0,0.26
518,Three Days Grace,178040000000.0,4.0,0.42
519,Soulja Boy Tell'em,178010000000.0,2.0,0.2
520,PNL,177560000000.0,6.0,0.34
521,Alok,177320000000.0,2.0,0.64
522,Maria Becerra,176620000000.0,6.0,2.35
523,The Game,176470000000.0,5.0,0.38
524,Abraham Mateo,176090000000.0,3.0,0.41
525,Bryson Tiller,176070000000.0,4.0,0.46
526,Blake Shelton,176060000000.0,3.0,0.33
527,AronChupa,175800000000.0,3.0,0.23
528,Eros Ramazzotti,175760000000.0,4.0,0.63
529,James Blunt,175710000000.0,2.0,0.43
530,Naughty Boy,175120000000.0,2.0,0.21
531,Marcos & Belutti,174530000000.0,4.0,0.26
532,SHINee,173560000000.0,2.0,0.27
533,R.E.M.,173490000000.0,2.0,0.57
534,2 Chainz,172870000000.0,5.0,0.28
535,Vremya i Steklo,172180000000.0,5.0,0.14
536,Lata Mangeshkar,172070000000.0,6.0,0.45
537,İrem Derici,171730000000.0,3.0,0.32
538,Scorpions,171530000000.0,2.0,0.44
539,Raymix,171250000000.0,3.0,0.38
540,ONE OK ROCK,171170000000.0,3.0,0.38
541,Zouhair Bahaoui,170570000000.0,3.0,0.49
542,Raí Saia Rodada,170290000000.0,4.0,0.48
543,Rick Astley,169750000000.0,2.0,0.5
544,My Chemical Romance,168980000000.0,7.0,0.51
545,Rick Ross,168720000000.0,3.0,0.34
546,B.o.B,168710000000.0,2.0,0.3
547,Korn,168600000000.0,3.0,0.49
548,Lil Skies,168350000000.0,4.0,0.18
549,El Komander,167920000000.0,3.0,0.26
550,Naps,167170000000.0,5.0,0.47
551,Nella Kharisma,167130000000.0,5.0,0.14
552,Shaggy,166330000000.0,6.0,0.42
553,Noriel,166130000000.0,3.0,0.4
554,Bruce Springsteen,165390000000.0,3.0,0.63
555,"Earth, Wind & Fire",164920000000.0,3.0,0.56
556,Foster The People,164590000000.0,3.0,0.37
557,3 Doors Down,164170000000.0,3.0,0.4
558,Boney M.,163770000000.0,3.0,1.04
559,Getsunova,163390000000.0,5.0,0.18
560,Mary J. Blige,163010000000.0,4.0,0.66
561,Joyner Lucas,162070000000.0,1.0,0.36
562,2CELLOS,161940000000.0,1.0,0.33
563,Destiny's Child,161790000000.0,7.0,0.43
564,Last Child,161590000000.0,4.0,0.71
565,Lauv,161050000000.0,4.0,0.37
566,Robbie Williams,160530000000.0,4.0,0.28
567,Jonas Brothers,159760000000.0,3.0,0.2
568,Lauana Prado,159580000000.0,3.0,0.61
569,Toni Braxton,159500000000.0,3.0,0.58
570,Sofia Reyes,159030000000.0,3.0,0.51
571,Wham!,158050000000.0,2.0,0.31
572,Jeremih,158000000000.0,6.0,0.29
573,J Alvarez,157940000000.0,2.0,0.39
574,Ella Mai,157930000000.0,4.0,0.44
575,Burna Boy,157850000000.0,3.0,1.59
576,Marilyn Manson,157630000000.0,3.0,0.36
577,Audioslave,157610000000.0,3.0,0.49
578,Afrojack,157290000000.0,3.0,0.1
579,Lê Bảo Bình,157200000000.0,4.0,0.38
580,Manuel Medrano,156690000000.0,3.0,0.4
581,The Notorious B.I.G.,156010000000.0,4.0,0.79
582,Israel Kamakawiwo'ole,155820000000.0,2.0,0.3
583,T-Pain,155280000000.0,5.0,0.43
584,The Police,154970000000.0,3.0,0.57
585,JD Pantoja,154870000000.0,4.0,0.32
586,MC WM,154220000000.0,5.0,0.09
587,Fun.,154220000000.0,3.0,0.28
588,Demet Akalın,154150000000.0,2.0,0.17
589,Wolfine,153400000000.0,2.0,0.27
590,Israel & Rodolffo,152780000000.0,1.0,1.65
591,Andy Rivera,152700000000.0,3.0,0.58
592,MHD,152500000000.0,5.0,0.24
593,Mỹ Tâm,152170000000.0,2.0,0.27
594,Die Antwoord,151930000000.0,5.0,0.21
595,Reynmen,151600000000.0,3.0,0.25
596,Elvis Presley,151360000000.0,1.0,0.78
597,Kehlani,151290000000.0,2.0,0.32
598,Santana,149090000000.0,3.0,0.57
599,Ty Dolla $ign,148790000000.0,1.0,0.23
600,No Doubt,148670000000.0,2.0,0.39
601,Renuka Panwar,148350000000.0,1.0,0.31
602,4 Non Blondes,147990000000.0,1.0,0.56
603,Alexandra Stan,147600000000.0,5.0,0.24
604,Kany García,147490000000.0,4.0,0.92
605,Kid Rock,146780000000.0,2.0,0.46
606,Carrie Underwood,146080000000.0,1.0,0.23
607,Toto,145670000000.0,3.0,0.65
608,Mannat Noor,145280000000.0,1.0,0.22
609,Rombai,144390000000.0,4.0,0.2
610,Tom Odell,144330000000.0,2.0,1.09
611,Fernandinho,143740000000.0,2.0,0.82
612,4Minute,142860000000.0,4.0,0.13
613,Abel Pintos,142810000000.0,1.0,0.35
614,SISTAR,142570000000.0,4.0,0.16
615,Buray,142380000000.0,7.0,0.35
616,Thiaguinho,142340000000.0,2.0,0.62
617,R3HAB,142250000000.0,2.0,0.22
618,Grupo Revelação,142060000000.0,2.0,0.54
619,Mano Walter,142010000000.0,3.0,0.14
620,Europe,141760000000.0,2.0,0.37
621,Yo Gotti,141470000000.0,4.0,0.24
622,Bé Bảo An,141130000000.0,4.0,0.38
623,Tainy,141000000000.0,3.0,0.4
624,Alessia Cara,140940000000.0,4.0,0.21
625,Troye Sivan,140900000000.0,2.0,0.2
626,Jenni Rivera,140830000000.0,2.0,0.02
627,Willy William,140690000000.0,2.0,0.32
628,Kids United,140680000000.0,3.0,0.31
629,Carla's Dreams,140080000000.0,Não informado,0.36
630,Dwayne Johnson,140060000000.0,1.0,1.17
631,L.กฮ.,139740000000.0,5.0,0.45
632,C. Tangana,139690000000.0,3.0,0.36
633,Sunidhi Chauhan,139440000000.0,3.0,0.22
634,Ñengo Flow,138880000000.0,4.0,0.82
635,Radwimps,138670000000.0,3.0,0.48
636,Damas Gratis,138450000000.0,4.0,0.76
637,G.E.M.,138160000000.0,4.0,0.23
638,Milky Chance,138010000000.0,3.0,0.41
639,The Kid LAROI,137990000000.0,2.0,0.78
640,Banda Carnaval,137980000000.0,1.0,0.25
641,Hande Yener,137860000000.0,3.0,0.18
642,Aqua,137720000000.0,1.0,0.54
643,Kong Huayrai,137590000000.0,4.0,0.43
644,Sherine,137550000000.0,5.0,0.58
645,Hadise,137409999999.99998,5.0,0.23
646,Owl City,137330000000.0,2.0,0.22
647,MC G15,137230000000.0,5.0,0.08
648,Kings Of Leon,136730000000.0,2.0,0.3
649,J-Ax,136540000000.00002,2.0,0.12
650,Pang Nakarin,136500000000.0,4.0,0.17
651,Akcent (Romania),136259999999.99998,1.0,0.22
652,Rudimental,136190000000.00002,3.0,0.18
653,OutKast,136140000000.00002,3.0,0.38
654,Gigi D'Agostino,136050000000.0,3.0,0.38
655,Melim,135909999999.99998,2.0,0.4
656,Preto no Branco,135540000000.00002,2.0,0.33
657,Marwa Loud,135359999999.99998,5.0,0.47
658,Ryan Castro,135270000000.0,5.0,1.4
659,Fernando & Sorocaba,134220000000.0,1.0,0.14
660,Flume,133890000000.00002,3.0,0.23
661,Bonnie Tyler,133600000000.0,3.0,0.47
662,Natiruts,133150000000.0,3.0,0.55
663,Auli'i Cravalho,132930000000.0,2.0,0.62
664,MC Lan,132890000000.00002,2.0,0.05
665,Alejandra Guzmán,132840000000.00002,3.0,0.23
666,Ylvis,132550000000.0,1.0,0.14
667,Armaan Malik,132270000000.0,3.0,0.35
668,YFN Lucci,132020000000.0,2.0,0.31
669,Sexion D'Assaut,131740000000.00002,2.0,0.16
670,Rvssian,131520000000.0,3.0,0.29
671,Pedro Sampaio,131090000000.00002,4.0,0.57
672,Sila,130459999999.99998,2.0,0.25
673,Taio Cruz,130090000000.00002,5.0,0.16
674,The Lumineers,129950000000.0,4.0,0.3
675,Vitor Fernandes,129940000000.00002,3.0,0.53
676,Gülşen,129650000000.0,4.0,0.26
677,Baby Rasta y Gringo,129559999999.99998,1.0,0.29
678,Mahahing,129470000000.0,4.0,0.13
679,Gwen Stefani,129330000000.0,4.0,0.25
680,Alexis y Fido,129170000000.0,3.0,0.5
681,Billy Joel,128709999999.99998,3.0,0.44
682,Emrah Karaduman,128650000000.0,3.0,0.15
683,Duke Dumont,128630000000.0,2.0,0.28
684,L-Gante,128130000000.0,1.0,0.58
685,John Newman,127830000000.0,1.0,0.27
686,Dennis,127759999999.99998,2.0,0.15
687,Phil Collins,127759999999.99998,2.0,0.37
688,Jhené Aiko,127490000000.00002,2.0,0.41
689,El Bebeto,127140000000.00002,2.0,0.19
690,Lenny Kravitz,127140000000.00002,3.0,0.38
691,IZA,127030000000.0,5.0,0.4
692,Era Istrefi,126950000000.0,1.0,0.54
693,Nego do Borel,126900000000.0,3.0,0.06
694,Young M.A,126770000000.0,2.0,0.17
695,León Larregui,126430000000.0,4.0,0.34
696,SZA,126400000000.0,4.0,4.93
697,Yelawolf,126209999999.99998,2.0,0.41
698,Mike WiLL Made-It,126190000000.00002,1.0,0.12
699,Thomas Rhett,126140000000.00002,2.0,0.17
700,Tiago PZK,126120000000.0,3.0,0.97
